id;notice-id;publication-id;Mot clé 1;Mot clé 2;Mot clé 3;Mot clé 4;Mot clé Géographique
53;53;796;espace public ; sociologie ; Population et modes de vie;;France
54;54;795;agence d'urbanisme ; changement climatique ; transition énergétique;;France
55;55;794;Mobilité ; sociologie ; Déplacement;;Pau
56;56;785;changement climatique ; démographie ; Biodiversité;;Monde
57;57;785;changement climatique ; démographie ; Biodiversité;;Monde
58;58;783;atlas ; cartographie ; carte;;Monde
59;59;783;atlas ; cartographie ; carte;;Monde
60;60;792;agence d'urbanisme ; patrimoine ; paysage;;Bordeaux
61;61;791;agriculture ; Biodiversité ; quartier;;France
62;62;790;architecture ; innovation ; environnement;;France
63;63;784;écologie ; ressources naturelles ; changement climatique;;International
64;64;784;écologie ; ressources naturelles ; changement climatique;;International
65;65;789;histoire ; ville ; cartographie;;Bayonne
66;66;772;paysage urbain ; Ville durable ; Espaces publics;;France
67;67;772;paysage urbain ; Ville durable ; Espaces publics;;France
68;68;787;construction ; logement ; ville;;France
69;69;786;Histoire ; innovation ; Social;;Pays basque
70;70;786;Histoire ; innovation ; Social;;Pays basque
71;71;781;Biodiversité ; paysage urbain ; ville;;Europe
72;72;782;changement climatique ; paysage ; ville;;Europe
73;73;726;Politiques publiques ; innovation ; territoire;;France
74;74;726;Politiques publiques ; innovation ; territoire;;France
75;75;779;changement climatique ; eau ; urbanisme;;Aquitaine
76;76;780;changement climatique ; eau ; urbanisme;;Aquitaine
77;77;778;PLU ; patrimoine ; histoire;;France
78;78;777;foncier ; Aménagement du territoire ; urbanisme;;Aquitaine
79;79;777;foncier ; Aménagement du territoire ; urbanisme;;Aquitaine
80;80;775;ville ;aires urbaines ; transition écologique;;France
81;81;774;Zone d'activités économiques ; emploi ; ville;;France
82;82;773;ville ; innovation ; territoire;;France
83;83;771; Territoires ; Ville ; Population et modes de vie;;France
84;84;769;logement ; HLM ; Social;;France
85;85;768;agence d'urbanisme ; développement territorial ; innovation;;France
86;86;767;architecture ; inondation ; ville;;International
87;87;765;immobilier ; ville ; innovation;;International
88;88;766;financement ; logement social ; HLM;;Aquitaine
89;89;758;région ; économie ; emploi;;France
90;90;759;ville ; emploi ; péri;urbain;France
91;91;760;ville ; emploi ; péri;urbain;France
92;92;762;développement durable ; espace public ; santé;;Bordeaux
93;93;756;immobilier ; logement ; région;;Pau
94;94;757;logement ; immobilier ; observatoire;;Aquitaine
95;95;761;immobilier ; logement social ; commerce;;Bordeaux
96;96;761;immobilier ; logement social ; commerce;;Bordeaux
97;97;755;artificialisation des sols ; Biodiversité ; habitat;;France
98;98;753;économie ; foncier ; territoire;;France
99;99;753;économie ; emploi ; territoire;;France
100;100;752;eau ; changement climatique ; milieux aquatiques;;Adour-Garonne
101;101;751;agglomération ; cadre de vie ; santé;;France
102;102;748;commerce ; emploi ; économie;;France
103;103;749;innovation ; territoire ; Social;;France
104;104;747;Gare ; réhabilitation urbaine ; quartier;;France
105;105;745;Politique de la ville ; emploi ; Quartier;;France
106;106;746;cadre de vie ; renouvellement urbain ; Politique de la ville;;France
107;107;744;mobilité ; transport ; voiture;;International
108;108;743;eau ; gestion des risques ; inondation;;Aquitaine
109;109;742;planification ; agriculture ; aménagement rural ;;France
110;110;740;carte ; cartographie ; topographie;;France
111;111;741;carte ; cartographie ; topographie;;France
112;112;735;carte ; cartographie ; topographie;;France
113;113;736;carte ; cartographie ; topographie;;France
114;114;737;carte ; cartographie ; topographie;;France
115;115;738;carte ; cartographie ; topographie;;France
116;116;739;carte ; cartographie ; topographie;;France
117;117;734;tourisme ; ville ; Numérique;;Aquitaine
118;118;733;habitat ; mobilité ; eau;;Pays Basque
119;119;732;territoire ; transfrontalier ; ville;;Europe
120;120;576;centre;ville ; commerce ; modes de déplacement;France
121;121;576;centre;ville ; commerce ; modes de déplacement;France
122;122;731;droit de l'urbanisme ; loi ; urbanisation;;France
123;123;730;Politiques publiques ; innovation ; ville;;France
124;124;717;ville ; commerce ; emploi;;International
125;125;717;ville ; commerce ; emploi;;International
126;126;729;Mobilité ; Emploi ; Territoire;;France
127;127;728;urbanisme ; territoire ; innovation;;France
128;128;725;ville ; mode de vie ; aménagement urbain ;;Europe
129;129;724;ville ; université ; logement;;France
130;130;722;architecture ; espace public ; ville;;France
131;131;720;paysage ; écologie ; ville;;France
132;132;721;paysage ; eau ; urbanisme;;Europe
133;133;723;paysage ; eau ; territoire;;France
134;134;718;paysage ; urbanisme ; architecture;;France
135;135;719;paysage ; écologie ; ville;;International
136;136;716;paysage ; Urbaniste ; ville;;Europe
137;137;715;architecture ; paysage ; urbanisme;;International
138;138;714;tourisme ; architecture ; urbanisme;;France
139;139;570;Architecture ; Paysage ; Patrimoine;;Béarn
140;140;712;agence d'urbanisme ; eau ; paysage;;Grenoble
141;141;713;paysage ; eau ; ville;;International
142;142;710;ville ; culture ; région;;Europe
143;143;711;périurbain ; centre;ville ; territoire;France
144;144;709;économie ; Social ; politique locale;;France
145;145;708;périurbain ; ville ; urbanisation;;France
146;146;707;périurbain ; innovation ; territoire;;France
147;147;699;activité économique ; commerce ; rapport centre;périphérie ;France
148;148;699;activité économique ; commerce ; rapport centre;périphérie ;France
149;149;703;planification urbaine ; planification ; SIG;;Europe
150;150;703;planification urbaine ; planification ; SIG;;Europe
151;151;697;PDU ; stationnement ; parking;;France
152;152;697;PDU ; stationnement ; parking;;France
153;153;706;Plan climat ; énergie ; innovation;;Pyrénées Atlantiques
154;154;706;Plan climat ; énergie ; innovation;;Pyrénées Atlantiques
155;155;698;citoyenneté ; territoire ; habitat participatif;;France
156;156;698;citoyenneté ; territoire ; habitat participatif;;France
157;157;704;transfrontalier ; territoire ; Politiques publiques;;Europe
158;158;704;transfrontalier ; territoire ; Politiques publiques;;Europe
159;159;705;logement ; innovation ; Social;;France
160;160;788;Politiques publiques ; Action publique ; métropole;;Lyon
161;161;701;architecture ; ville ; logement;;International
162;162;702;Changement climatique ; température ; développement durable;;France
163;163;700;paysage ; transition énergétique ; renouvellement urbain;;France
164;164;696;SCoT ; agriculture ; Développement économique;;Pyrénées Atlantiques
165;165;34;Paysage;Espaces naturels;;;Pyrénées Atlantiques
166;166;34;Paysage;Espaces naturels;;;Pyrénées Atlantiques
167;167;679;Biodiversité ; tram verte et bleue ; paysage;;Europe
168;168;679;Biodiversité ; tram verte et bleue ; paysage;;Europe
169;169;680;territoire ; architecture ; paysage;;France
170;170;680;territoire ; architecture ; paysage;;France
171;171;681;péri;urbain ; innovation ; agriculture;France
172;172;681;péri;urbain ; innovation ; agriculture;France
173;173;685;urbain ; ville ; Equipements;;International
174;174;685;urbain ; ville ; Equipements;;International
175;175;691;eau ; Biodiversité ; paysage;;Europe
176;176;691;eau ; Biodiversité ; paysage;;Europe
177;177;644;Pôle Métropolitain ; coopération intercommunale ; inter;territorialité;France
178;178;644;Pôle Métropolitain ; coopération intercommunale ; inter;territorialité;France
179;179;695;eau ; changement climatique ; milieux aquatiques;;Adour-Garonne
180;180;694;santé ; ville ; environnement;;France
181;181;543;ville ; développement durable ; urbanisme;;Pau
182;182;543;ville ; développement durable ; urbanisme;;Pau
183;183;692;environnement ; urbanisme ; développement économique;;Landes
184;184;693;Conseil des élus ; lurraldea ; développement durable;;Pays Basque
185;185;690;Biodiversité ; écologie ; milieux aquatiques;;Aquitaine
186;186;688;logement ; Population ; Société;;France
187;187;689;logement ; Social ; économie;;France
188;188;686;SCoT ; territoire ; développement économique;;Pyrénées Atlantiques
189;189;687;innovation ; territoire ; ville;;France
190;190;684;FNAU ; territoire ; urbanisme;;Europe
191;191;683;emploi ; agglomération ; région;;France
192;192;682;économie ; histoire ; tourisme;;Pau
193;193;672;Aménagement du territoire ; Paysage ; Espaces naturels;;France
194;194;672;Aménagement du territoire ; Paysage ; Espaces naturels;;France
195;195;675;Aménagement de l'espace public ; Aménagement urbain ; Paysage;;France
196;196;675;Aménagement de l'espace public ; Aménagement urbain ; Paysage;;France
197;197;218;mobilité ; marche ˆ pied ; piéton;;France
198;198;218;mobilité ; marche ˆ pied ; piéton;;France
199;199;645;Architecture ; Ville ; Aménagement urbain;;Pau
200;200;645;Architecture ; Ville ; Aménagement urbain;;Pau
201;201;604;culture ; pays ; histoire;;Pays Basque
202;202;604;culture ; pays ; histoire;;Pays Basque
203;203;678;énergie ; ville durable ; aménagement du territoire;;France
204;204;673;Aménagement urbain ; Paysage ; Aménagement de l'espace public;;France
205;205;674;Aménagement urbain ; Paysage ; armature urbaine;;France
206;206;676;Aménagement urbain ; Espaces publics ; Paysage;;International
207;207;677;Aménagement urbain ; Espace public ; paysage urbain;;France
208;208;671;SCoT ; transition énergétique ; intercommunalité;;France
209;209;668;Architecture ; Ville ; projet urbain;;International
210;210;669;Paysage ; Environnement ; Espaces naturels;;France
211;211;670;Equipements ; Espace public ; Aménagement urbain;;France
212;212;667;Etalement urbain ; Changement climatique ; Ville durable;;France
213;213;666;Trame verte et bleue ; Biodiversité ; écologie;;Aquitaine
214;214;665;Donnée ; innovation ; environnement;;France
215;215;664;logement ; mal;logement ; logement social;France
216;216;663;Politique de la ville ; quartier ; ville;;France
217;217;662;planification ; tourisme ; urbanisme;;France
218;218;656;activité agricole ; construction ; logement;;Pyrénées Atlantiques
219;219;656;activité agricole ; construction ; logement;;Pyrénées Atlantiques
220;220;657;Politique de la ville ; quartier ; Habitat social;;France
221;221;658;tourisme ; économie résidentielle ; territoire;;France
222;222;659;Lotissement ; Habitat individuel ; Forme urbaine;;France
223;223;660;PLH ; Diagnostic ; Logement;;Pays Basque
224;224;661;PLH ; Logement ; Habitat;;Pays Basque
225;225;647;patrimoine ; biodiversité ; paysage ; audap;Pays Basque
226;226;647;patrimoine ; biodiversité ; paysage ; audap;Pays Basque
227;227;655;Mobilité ; Mobilité douce ; voiture;;France
228;228;654;Numérique ; ville ; mode de vie;;Toulouse
229;229;653;Densité ; architecture ; développement durable;;Europe
230;230;639;Projet urbain ; Stratégie urbaine ; Attractivité;;Berlin
231;231;639;Projet urbain ; Stratégie urbaine ; Attractivité;;Berlin
232;232;652;agence d'urbanisme ; région ; schéma régional de cohérence écologique;;France
233;233;651;mobilité ; innovation ; territoire;;Aquitaine
234;234;650;ville ; territoire ; urbanisme;;Monde
235;235;649;agriculture ; ville ; urbain;;Europe
236;236;642;FNAU ; urbanisme ; citoyen;;Europe
237;237;642;FNAU ; urbanisme ; citoyen;;Europe
238;238;445;transfrontalier ; logistique ; biodiversité;;France
239;239;445;transfrontalier ; logistique ; biodiversité;;France
240;240;648;logement ; logement social ; handicap;;France
241;241;648;logement ; logement social ; handicap;;France
242;242;646;ville ; citoyen ; concertation;;France
243;243;643;patrimoine ; développement économique ; urbanisme;;France
244;244;641;patrimoine ; biodiversité ; paysage ; AUDAP;France
245;245;640;agglomération ; centre;ville ; espaces publics;France
246;246;626;cartographie ; Donnée ; Territoire;;France
247;247;626;cartographie ; Donnée ; Territoire;;France
248;248;631;Architecture ; patrimoine ; ville;;Aquitaine
249;249;631;Architecture ; patrimoine ; ville;;Aquitaine
250;250;634;PLUi ; PLU ; projet de territoire;;France
251;251;634;PLUi ; PLU ; projet de territoire;;France
252;252;627;développement économique ; urbanisme ; environnement;;Sud des Landes
253;253;627;développement économique ; urbanisme ; environnement;;Sud des Landes
254;254;629;Air ; Plan climat ; santé;;France
255;255;629;Air ; Plan climat ; santé;;France
256;256;632; statistiques ; mobilité ; aménagement urbain;;France
257;257;632; statistiques ; mobilité ; aménagement urbain;;France
258;258;633;statistique ; environnement ; foncier;;France
259;259;633;statistique ; environnement ; foncier;;France
260;260;630;déchet ; traitement des déchets; environnement;;Aquitaine
261;261;630;déchet ; traitement des déchets; environnement;;Aquitaine
262;262;637;gouvernance ; patrimoine ; culture;;Pays Basque
263;263;638;information ; SIG ; Internet;;France
264;264;636;SIG ; topographie ; Numérique;;France
265;265;635;immobilier ; ville ; Plan climat;;Pays Basque
266;266;571;Architecture ; Paysage ; Construction;;Béarn
267;267;571;Architecture ; Paysage ; Construction;;Béarn
268;268;628;logement social ; observatoire ; territoire;;Europe
269;269;624;indicateur ; métropole ; qualité de vie;;France
270;270;624;indicateur ; métropole ; qualité de vie;;France
271;271;614;aménagement urbain ; économie ; ville numérique;;France
272;272;614;aménagement urbain ; économie ; ville numérique;;France
273;273;615;espaces publics ; Politiques publiques ; renouvellement urbain;;France
274;274;615;espaces publics ; Politiques publiques ; renouvellement urbain;;France
275;275;617;fnau ; intercommunalité ; urbanisme;;France
276;276;617;fnau ; intercommunalité ; urbanisme;;France
277;277;616;patrimoine ; transport ; ville;;Toulouse
278;278;616;patrimoine ; transport ; ville;;Toulouse
279;279;622;habitat ; développement local ; citoyenneté;;Aquitaine
280;280;622;habitat ; développement local ; citoyenneté;;Aquitaine
281;281;625;construction ; déchets ; gestion des déchets;;France
282;282;623;urbanisme ; ville durable ; logement;;France
283;283;619;architecture ; paysage ; innovation;;Pau
284;284;620;trafic ; port ; économie des transports;;Bayonne
285;285;621;territoire ; transfrontalier ; crise économique;;France
286;286;618;foncier ; politique foncière ; habitat;;Pyrénées Atlantiques
287;287;613;environnement ; urbanisme ; économie;;Pays Basque
288;288;606;transition énergétique ; climat ; énergie;;Pyrénées Atlantiques
289;289;606;transition énergétique ; climat ; énergie;;Pyrénées Atlantiques
290;290;611;air ; changement climatique ; aménagement du territoire;;Pyrénées Atlantiques
291;291;612;air ; territoire ; voiture;;Pyrénées Atlantiques
292;292;610;histoire ; gare ; urbain;;Pays Basque
293;293;609;politique de la ville ; rénovation urbaine ; environnement;;France
294;294;609;politique de la ville ; rénovation urbaine ; environnement;;France
295;295;608;observation ; métropole ; emploi;;France
296;296;607;région ; train ; lgv;;Aquitaine
297;297;605;immobilier ; observatoire ; donnée;;Aquitaine
298;298;603;histoire ; population ; pays;;Pays Basque
299;299;602;immobilier ; logement ; agglomération;;Pyrénées Atlantiques & Sud des Landes
300;300;599;littoral ; écologie ; activité économique;;France
301;301;600;ville ; développement durable ; espaces publics;;Pau
302;302;598;ville ; modes de vie ; environnement;;Bordeaux
303;303;389;transport ˆ la demande ; transport urbain ; TAD;;France
304;304;597;ville ; architecture ; métropole;;Bordeaux
305;305;595;cartographie ; ville ; territoire;;Béarn
306;306;596;loyer ; observatoire ; territoire;;France
307;307;594;culture ; société ; ville;;France
308;308;592;foncier agricole ; marché foncier ; région;;France
309;309;591;environnement ; plan local d'urbanisme ; territoire;;France
310;310;315;métropole ; agglomération ; aire urbaine;;Europe
311;311;315;métropole ; agglomération ; aire urbaine;;Europe
312;312;588;mobilité ; métropole ; vélo;;Bordeaux
313;313;589;Agglomération ; Démographie ; mobilité;;France
314;314;583;ville ; projet urbain ; planification;;France
315;315;583;ville ; projet urbain ; planification;;France
316;316;587;dictionnaire ; information ; urbanisme;;France
317;317;587;dictionnaire ; information ; urbanisme;;France
318;318;582;urbanisme ; ville ; modes de vie;;Monde
319;319;582;urbanisme ; ville ; modes de vie;;Monde
320;320;579;biodiversité ; environnement ; énergie;;Aquitaine
321;321;579;biodiversité ; environnement ; énergie;;Aquitaine
322;322;578;transport d'énergie ; transport de gaz ; canalisation;;Aquitaine
323;323;578;transport d'énergie ; transport de gaz ; canalisation;;Aquitaine
324;324;586;urbanisme ; ville ; immigration;;International
325;325;586;urbanisme ; ville ; immigration;;International
326;326;585;mobilité ; urbanisme ; transport;;France
327;327;585;mobilité ; urbanisme ; transport;;France
328;328;584;innovation ; logement social ; construction;;Aquitaine
329;329;581;ville ; université ; territoire;;Europe
330;330;580;ville ; nature ; paysage;;France
331;331;577;Foncier ; Territoire ; Immobilier;;Pays Basque
332;332;575;aménagement rural  ; développement local ; démographie;;Bretagne
333;333;574;Réforme territoriale ; Région ; Territoire;;France
334;334;573;cadre de vie ; urbanisme ; ville;;Bordeaux
335;335;568;FNAU ; projet urbain ; paysage;;France
336;336;569;Agence d'urbanisme ; FNAU ; Planification;;France
337;337;567;Foncier ; Immobilier ; Habitat;;France
338;338;565;Numérique ; ville durable ; innovation;;Toulouse
339;339;566;Politiques publiques ; paysage ; nature;;France
340;340;564;ville ; Politiques publiques ; territoire;;France
341;341;563;emploi ; immobilier ; Zone d'activités économiques;;Bordeaux
342;342;562;milieux aquatiques ; eau ; inondation;;Adour-Garonne
343;343;560;Attractivité ; mobilité ; Politiques publiques;;France
344;344;561;Agences d'urbanisme ; territoire ; péri;urbain;France
345;345;559;habitat ; foncier ; immobilier;;Pays Basque
346;346;558;développement territorial ; économie ; comportement social;;France
347;347;557;Air ; trafic ; transport;;Aquitaine
348;348;554;intercommunalité ; urbanisme ; territoire;;France
349;349;555;nature ; Biodiversité ; eau;;France
350;350;556;environnement ; logistique ; économie;;France
351;351;552;écoquartier ; urbain ; logement;;France
352;352;553;ville durable ; Planification Territoriale ; qualité de vie;;International
353;353;551;développement territorial ; innovation ; économie;;France
354;354;548;carte ; cartographie ; topographie;;France
355;355;549;carte ; cartographie ; topographie;;France
356;356;550;carte ; cartographie ; topographie;;France
357;357;546;ingénierie ; Politiques publiques ; territoire;;France
358;358;547;carte ; cartographie ; topographie;;France
359;359;539;Politiques publiques ; urbanisme ; territoire;;Pau
360;360;539;Politiques publiques ; urbanisme ; territoire;;Pau
361;361;540;Trame Verte et Bleue ; urbanisme ; territoire;;Pau
362;362;540;Trame Verte et Bleue ; urbanisme ; territoire;;Pau
363;363;545;déchets ; environnement ; Politiques publiques;;France
364;364;538;agriculture ; urbain ; territoire;;France
365;365;538;agriculture ; urbain ; territoire;;France
366;366;541;planification ; urbanisme ; SRADDET;;France
367;367;541;planification ; urbanisme ; SRADDET;;France
368;368;542;rapport d'activité ; agence d'urbanisme ; urbanisme;;France
369;369;542;rapport d'activité ; agence d'urbanisme ; urbanisme;;France
370;370;544;eaux pluviales ; Biodiversité ; urbanisme;;France
371;371;517;tourisme ; urbanisme ; aménagement du littoral;;Aquitaine
372;372;517;tourisme ; urbanisme ; aménagement du littoral;;Aquitaine
373;373;537;aménagement du territoire ; centralité ; ville;;France
374;374;536;foncier ; budget ; territoire;;France
375;375;536;foncier ; budget ; territoire;;France
376;376;535;carte ; topographie ; cartographie;;Pyrénées Atlantiques
377;377;534;projet de territoire ; cadre de vie ; développement économique;;France
378;378;533;transfrontalier ; projet de territoire ; agglomération;;Europe
379;379;532;climat ; agriculture ; urbanisme;;France
380;380;512;ingénierie ; urbanisme ; génie civile;;France
381;381;512;ingénierie ; urbanisme ; génie civile;;France
382;382;511;projet urbain ; urbanisme opérationnel ; développement durable;;France
383;383;511;projet urbain ; urbanisme opérationnel ; développement durable;;France
384;384;513;ville ; mobilité ; services;;France
385;385;513;ville ; mobilité ; services;;France
386;386;523;carte ; cartographie ; topographie;;France
387;387;524;carte ; cartographie ; topographie;;France
388;388;525;carte ; cartographie ; topographie;;France
389;389;526;carte ; cartographie ; topographie;;France
390;390;527;carte ; cartographie ; topographie;;France
391;391;528;carte ; cartographie ; topographie;;France
392;392;529;carte ; cartographie ; topographie;;France
393;393;530;carte ; cartographie ; topographie;;France
394;394;531;carte ; cartographie ; topographie;;France
395;395;532;changement climatique ; habitat ; transports;;France
396;396;518;collectivités territoriales ; plan local d'urbanisme ; agglomération;;France
397;397;519;paysage urbain ; ville durable ; aménagement urbain;;International
398;398;520;habitat ; OPAH ; renouvellement urbain;;France
399;399;521;habitat ; urbanisme ; Politiques publiques;;France
400;400;516;Trame verte et bleue ; Biodiversité ; aménagement du territoire;;Aquitaine
401;401;514;ville ; espace public ; marche;;France
402;402;515;urbanisme ; décret ; code;;France
403;403;510;ville ; citoyen ; espaces urbains;;Lyon
404;404;510;ville ; citoyen ; espaces urbains;;Lyon
405;405;508;tourisme ; territoire ; projet urbain;;France
406;406;508;tourisme ; territoire ; projet urbain;;France
407;407;509;territoire ; intercommunalité ; gouvernance;;Pays Basque
408;408;509;territoire ; intercommunalité ; gouvernance;;Pays Basque
409;409;507;ville ; urbanisme ; projet urbain;;International
410;410;507;ville ; urbanisme ; projet urbain;;International
411;411;506;ville ; commerce ; urbanisme;;Europe
412;412;505;santé ; éducation ; qualité de vie ;;France
413;413;496;foncier ; renouvellement urbain ; politiques publiques;;International
414;414;496;foncier ; renouvellement urbain ; politiques publiques;;International
415;415;502;ville ; architecture ; urbanisme;;Europe
416;416;502;ville ; architecture ; urbanisme;;Europe
417;417;494;surélévation ; logement ; urbanisme;;France
418;418;494;surélévation ; logement ; urbanisme;;France
419;419;501;marché immobilier ; marché foncier ; politiques publiques;;France
420;420;501;marché immobilier ; marché foncier ; politiques publiques;;France
421;421;503;marché immobilier ; foncier ; logement;;France
422;422;503;marché immobilier ; foncier ; logement;;France
423;423;500;marché foncier ; planification urbaine ; politiques publiques;;International
424;424;500;marché foncier ; planification urbaine ; politiques publiques;;International
425;425;493;copropriété ; habitat ; politiques publiques;;France
426;426;493;copropriété ; habitat ; politiques publiques;;France
427;427;498;logement ; marché immobilier ; renouvellement urbain;;Europe
428;428;498;logement ; marché immobilier ; renouvellement urbain;;Europe
429;429;497;logement ; politiques publiques ; aménagement du territoire;;France
430;430;497;logement ; politiques publiques ; aménagement du territoire;;France
431;431;495;mobilité ; urbanisme ; planification;;France
432;432;495;mobilité ; urbanisme ; planification;;France
433;433;504;ville ; habitat ; réhabilitation urbaine;;France
434;434;499;tourisme ; environnement ; littoral;;France
435;435;491;paysage ; architecture ; eau;;France
436;436;491;paysage ; architecture ; eau;;France
437;437;492;littoral ; Trait de côte ; observatoire;;France
438;438;437;Aménagement du territoire ; bassin de vie ; métropole;;Ile-de-France
439;439;437;Aménagement du territoire ; bassin de vie ; métropole;;Ile-de-France
440;440;444;territoire ; Décentralisation ; Démographie;;France
441;441;444;territoire ; Décentralisation ; Démographie;;France
442;442;489;ville ; économie ; architecture;;Bayonne
443;443;490;ville ; architecture ; histoire;;Orthez
444;444;487;gestion de l'eau ; pouvoirs publics ; innondation;;France
445;445;487;gestion de l'eau ; pouvoirs publics ; innondation;;France
446;446;488;histoire ; économie ; architecture;;Anglet
447;447;488;histoire ; économie ; architecture;;Anglet
448;448;482;ville ; agriculture ; logistique urbaine;;France
449;449;482;ville ; agriculture ; logistique urbaine;;France
450;450;484;ville ; renouvellement urbain ; territoire;;France
451;451;484;ville ; renouvellement urbain ; territoire;;France
452;452;486;paysage ; architecture ; environnement;;Anglet
453;453;486;paysage ; architecture ; environnement;;Anglet
454;454;485;Observatoire ; Statistiques ; SIG;;Aquitaine
455;455;485;Observatoire ; Statistiques ; SIG;;Aquitaine
456;456;481;ville ; innovation ; projet urbain;;Barcelone
457;457;483;ville ; métropole ; urbanisme;;International
458;458;478;ville ; stratégie urbaine ; urbanisme;;International
459;459;479;projet urbain ; habitat ; architecture;;France
460;460;480;ville ; conception ; projet urbain;;France
461;461;477;aménagement urbain ; ville ; nature;;International
462;462;476;Transports ; Mobilité ; Déplacement;;France
463;463;476;Transports ; Mobilité ; Déplacement;;France
464;464;473;métropole ; planification ; territoire;;Lyon
465;465;474;Patrimoine ; territoire ; agences d'urbanisme;;Europe
466;466;475;logement ; urbain ; diagnostic;;France
467;467;471;architecture ; habitat ; eau;;France
468;468;471;architecture ; habitat ; eau;;France
469;469;472;Transports ; ville ; mobilité;;France
470;470;472;Transports ; ville ; mobilité;;France
471;471;245;politique des transports ; intermodalité ; aire urbaine;;Aquitaine
472;472;245;politique des transports ; intermodalité ; aire urbaine;;Aquitaine
473;473;145;Marche ; Piéton ; Ville;;Bordeaux
474;474;145;Marche ; Piéton ; Ville;;Bordeaux
475;475;289;périurbain ; ville ; étalement urbain;;France
476;476;289;périurbain ; ville ; étalement urbain;;France
477;477;366;espace public ; projet urbain ; prospective;;Bordeaux
478;478;366;espace public ; projet urbain ; prospective;;Bordeaux
479;479;419;ville ; voiture ; modes de vie;;Europe
480;480;419;ville ; voiture ; modes de vie;;Europe
481;481;469;ville ; piéton ; projet urbain;;Europe
482;482;470;ville ; territoire ; urbanisme;;France
483;483;120;Mobilité ; Travail ; Modes de déplacement;;Ile-de-France
484;484;120;Mobilité ; Travail ; Modes de déplacement;;Ile-de-France
485;485;468;PLU ; déplacement ; mobilité;;France
486;486;467;télétravail ; entreprises ; territoires;;France
487;487;466;économie verte ; progés technologiques ; recherche;;Béarn
488;488;464;risques ; transport ; vigilance;;France
489;489;465;climat ; température ; économie;;Pyrénées Atlantiques
490;490;463;Ville ; Transports ; urbain;;International
491;491;462;ville ; changement climatique ; planification;;International
492;492;461;Front National ; Parti politique ; Géographie;;France
493;493;460;Développement durable ; Changement climatique ; Biodiversité;;Bayonne
494;494;459;Changement climatique ; ville ; territoires;;France
495;495;458;cartographie ; étalement urbain ; territoire;;International
496;496;457;imperméabilisation ; assainissement ; sol;;France
497;497;456;Organisation de l'espace ; Port ; Ville;;International
498;498;453;Agences d'urbanisme ; territoire ; offre de services;;France
499;499;454;architecture ; ville ; aménagement urbain;;Pau
