N°;type-id;thematic-id;Titre;author-id;editor-id;Mentions d'édition;Date de publication;Pagination;Tomaison;collection-id;language-id;ISSN - ISBN;Support;Adresse Document Source;Lien URL;localisation-id;Cote;Résumé;Statut;
835;11;18;Le macroscope - vers une vision globale;246;204;Points;01/01/75;346 p.;Non;111;5;978.2.7578.4113.6;Physique;Non;Non;3;HUM 00040 (2);"Le macroscope - Qu'y a-t-il de commun entre l'écologie - le système économique - l'entreprise - la ville - l'organisme - la cellule ? Rien - si on se contente de les examiner avec l'instrument habituel de la connaissance - l'approche analytique. Mais beaucoup - en revanche - si l'on dépasse cette démarche classique pour faire ressortir les grandes règles d'organisation et de régulation de tous ces "" systèmes "". Pour Joël de Rosnay - l'instrument symbolique de cette nouvelle manière de voir - de comprendre et d'agir est le "" macroscope "" - qui devrait être aussi précieux aujourd'hui aux grands responsables de la politique - de la science - de l'industrie - et à chacun de nous - que le sont le microscope et le télescope pour la connaissance scientifique de l'univers.";Disponible;
834;1;13;Imaginons une politique de l'habitat ambitieuse - juste - éco-responsable;273;105;Non;01/08/20;88 p.;Non;111;5;Non;Physique & en ligne;Non;http://entretiensinxauseta.fr/les-actes-des-entretiens-2020/;3;HAB 00054;Le déclenchement de la crise sanitaire du Covid-19 et la récession économique de grande ampleur qu’elle a provoquée vont fortement impacter le secteur du logement et de l’habitat - dans la durée probablement. Avec la chute de la construction sociale et privée - l’effondrement des marchés de la transaction et la destruction d’une partie de l’appareil de production - les déséquilibres quantitatifs ne vont que s’aggraver. Les Entretiens d’Inxauseta proposaient cette année de travailler sur ce que devra être une politique du logement et de l’habitat ambitieuse - juste - solidaire - et écoresponsable au service des citoyens et de la société. Il ne peut s’agir de simples réflexions - il s’agit de participer à la reconstruction d’une véritable stratégie claire - transparente - acceptée et appropriée … et qui soit dotée des moyens nécessaires pour réussir.;Disponible;
833;14;7;Le pilotage des politiques publiques locales;133;265;Non;01/10/20;622 p.;Non;111;5;978-2-7013-2029-8;Physique;Non;Non;1;COL 00017;Les collectivités locales voient - depuis quelques années - leurs compétences s'accroître et les moyens financiers pour les mettre en oeuvre diminuer. Elles doivent donc faire plus avec moins et sont à la recherche d'une plus grande efficacité dans la gestion des politiques publiques locales. Planifier - organiser et évaluer l'ensemble des actions et activités d'une organisation publique sont des missions du quotidien pour les collectivités locales. Les enjeux sont multiples : responsabiliser dans la consommation des ressources  - formaliser la stratégie de la collectivité  - permettre à la population de mieux connaître les actions menées par la collectivité  - adapter l'offre de services publics locaux aux besoins de la population... Cet ouvrage répond donc à une triple ambition : - conceptuelle : en stabilisant les différents concepts qui régissent les politiques publiques locales  - - pratique : en s'appuyant sur les innovations locales des 20 dernières années  - - normative : en proposant une méthodologie appliquée aux collectivités.;Non disponible;
832;13;20;Le nouveau guide des chicanes et écluses sur voiries urbaines;85;195;Collection Références;18/04/12;83 p.;Non;37;5;978-2-11-129469-1;Physique;Non;Non;4;TRA 00068;La modération de la vitesse en ville est une nécessité tant pour la sécurité routière que pour la qualité de vie et la convivialité. L'aménageur doit évidemment convaincre mais aussi parfois contraindre les usagers motorisés à ajuster leur vitesse en fonction des conditions rencontrées. Le guide des chicanes et écluses sur voiries urbaines donne les caractéristiques techniques et les domaines d'utilisation de ces outils d'aménagement. Correctement implantées - dimensionnées et signalées - les chicanes et écluses obligent les conducteurs à respecter la vitesse réglementaire - sans causer de gêne excessive à ceux qui la respectent déjà. Ce guide s'adresse aux aménageurs de voirie et devrait les aider à juger de l'opportunité d'utiliser de tels aménagements - qui ne sont pas les seuls permettant de modérer les vitesses. Il vient en aval de guides généraux portant sur une démarche plus globale d'étude d'aménagement - tels que par exemple les guides Le profil en travers - outil de partage des voiries urbaines ou l'aménagement d'une traversée d'agglomération - une démarche de projet.;Disponible;
830;11;18;La convivialité;220;31;Non;28/08/14;15 p.;Non;119;5;Non;Physique;Non;Non;1;HUM 00039;L'analyse critique de la société industrielle doit beaucoup à Ivan Illich. Il est l'un des premiers à avoir dénoncé le productivisme - le culte de la croissance - l'apologie de la consommation et toutes les formes d'aliénation nées du mode de production capitaliste. La Convivialité montre comment l'organisation de la société tend à produire des consommateurs passifs - qui ont délégué aux institutions le pouvoir de décider et renoncé à assumer la responsabilité des orientations de leur société. Cette analyse critique se transforme en un manifeste. Il s'agit de réveiller politiquement les citoyens endormis - afin qu'ils se réapproprient leur destin. Toutefois - cette reconquête suppose que les individus se détournent des seules possessions matérielles au profit de la redécouverte d'autrui et de la pratique du dialogue social. Seul l'apprentissage de la convivialité permettra - par la rencontre et l'échange - de renouer les fils de la communauté et de lui redonner la maîtrise de son avenir et de ses choix. -;Non disponible;
829;21;1;L'Ibérie atlantique;341;132;Non;01/01/96;100 p.;Non;135;5;2-87678-256-1;Physique;Non;Non;1;AMT 00106;Du pays basque à la Galice - des Asturies à la Navarre - l’Ibérie atlantique englobe - jusqu’au Nord Portugal - une succession de territoires hétérogènes et cloisonnés. Leur voisinage géographique ne suffit pas à rassembler ces régions - aux trajectoires historiques et économiques diverses - dont les métropoles - jalouses de leurs prérogatives - tendent à se replier sur elles-mêmes et sur leur arrière-pays immédiat. À l’heure où la disparition progressive des industries traditionnelles semble inéluctable - dans le contexte de l’unification européenne souvent oublieuse des périphéries - cette façade éclatée se voit fragilisée par des bouleversements économiques sans précédent. La fédération de ses régions au sein de l’Arc atlantique pourrait contribuer à atténuer les rivalités des villes et à rééquilibrer leurs relations avec leur territoire. L’ouverture des flux en direction de la façade française et du reste du continent s’impose autant que le développement de réseaux cohérents au sein de ces littoraux en quête d’Europe. Après « Espaces-projets atlantiques » - cet ouvrage - dirigé par Pierre Laborde - propose un itinéraire parmi les particularités territoriales et économiques de ce front de mer situé entre Atlantique et Méditerranée - aux situations riches d’enseignements pour la prospective de la façade atlantique.;Disponible;
828;21;13;R-EVOLUTION : Low-Tech vs. High-Tech - le bâtiment comme enjeu de reconciliation ?;317;82;Non;10/10/19;44 p.;Volume 2;111;5;Non;Physique;Non;Non;1;HAB 00053;A l’heure où les procédés de construction sont tournés vers le numérique et les nouvelles technologies - on observe un certain « retour aux sources » enclenché par l’arrivée en masse de nouvelles réglementations énergétiques et environnementales. Presque comme un phénomène de mode - biosourcés - recyclage - réemploi - etc. - sont autant de termes émergents ces dernières années - et qui posent des questions relatives aux procédés de mises en œuvre - aux limites constructives - et aux compétences engagées.;Non disponible;
827;21;10;Villes et territoires de l'après-pétrole - Le paysage au cœur de la transition;269;109;Non;26/08/20;320 p.;Non;111;5;978-2-281-14425-3;Physique;Non;Non;4;ENV 00105;Villes et territoires de l’après-pétrole expose les principes issus d’une réflexion pluridisciplinaire engagée par les membres du collectif Paysages de l’après-pétrole depuis quatre années - démontrant que l’approche paysagère est le fil conducteur de la transition énergétique et du développement durable des territoires. La démarche paysagère - au-delà de solutions en matière de transition énergétique - permet d’élaborer un « monde d’après » - en conciliant enjeux économiques - respect de l’environnement et amélioration du cadre de vie et des relations humaines. Parmi ses principes : l’autonomie des territoires - le respect des diversités et équilibres naturels - la valorisation et la mise en réseau des initiatives locales - la complémentarité entre villes et campagnes - et l’intégration des énergies renouvelables dans une stratégie d’ensemble visant la construction d’un paysage vert et apaisé. Les solutions proposées - que différents territoires ont su mettre en oeuvre aux échelles de la ville comme de la campagne - sont détaillées et analysées au sein de six chapitres thématiques. Richement illustrés - ils exposent l’expertise des membres du collectif sur l’énergie - l’habitat - l’agriculture et les outils - métiers - formations et acteurs du paysage. Professionnels et étudiants de l’aménagement du territoire - élus - spécialistes en sciences politiques et sciences humaines et sociales - membres des associations culturelles - d’éducation et de solidarité sociale ou environnementale y trouveront un guide précieux pour anticiper et prendre part à l’élaboration des paysages de demain.;Disponible;
826;21;1;Zéro artificialisation nette - une équation complexe pour les politiques publiques;174;167;Non;01/06/20;8 p.;Non;111;5;Non;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2020/06/avis-fnau-n9-zan_v5.pdf;1;AMT 00107;Issu de la « Feuille de route pour une Europe efficace dans l’utilisation des ressources » de la Commission européenne - l’objectif de zéro artificialisation nette (ZAN) a été mis à l’agenda politique gouvernemental en France dans le cadre du plan biodiversité et a été inscrit dans des programmes politiques pour les élections municipales et régionales. Il représente une équation complexe pour les politiques publiques.;Disponible;
825;21;1;Traits d'agence : Lost in Transition - comment re-lier les territoires;174;167;Non;22/10/19;23 p.;Non;111;5;1776-9604;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2019/10/ta-35-hd.pdf;1;AMT 00105;La 40e Rencontre des agences d’urbanisme se tient dans la région Île-de-France les 6 - 7 et 8 novembre 2019. Accueillie par L’Institut Paris Région présidé par Valérie Pécresse - présidente de la région Île-de-France - la Rencontre est l’occasion de trois journées d’échanges et de co-construction sur les différents champs de la transition et de la coopération territoriale. Défendue - valorisée - voire érigée en modèle de développement urbain - la métropolisation est aussi désormais régulièrement critiquée parce qu’elle conduirait à une division de l’espace et de la société. Alors - comment re-lier les territoires ? La réponse à cette question tient peut-être dans un postulat : celui de la transition qui mettra en valeur les ressources propres à chaque territoire. Démontrer l’indissociable dépendance des territoires face à cet enjeu majeur - tel est le pari de cette 40e Rencontre. Cette nécessaire adaptation aux mutations par la transition nécessite un renforcement des liens entre les territoires à travers des stratégies de coopération. Par leur capacité à se fédérer - les territoires seront bien plus en mesure de relever les différents défis écologiques - économiques et sociaux. Cela suppose une mise en cohérence - une gouvernance organisée entre les différents acteurs et échelles territoriales. Ce numéro de Traits d’agences associé à la Rencontre présente différentes initiatives des agences d’urbanisme en faveur de la transition. Il donne à voir sur le rôle des agences auprès des territoires - des collectivités et de l’Etat dans un moment de profonde transformation mais tente également de réinterroger les modes de faire et ouvrir les champs d’investigation. ;Disponible;
823;21;3;Club Projet Urbain & Paysage n°16;174;167;Non;02/10/19;40 p.;16;111;5;ISSN 1760-9917;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2020/01/club-projet-urbain-n%C2%B016_2019_bd.pdf;1;AMU 00244;En mars - le 16ème atelier Projet Urbain & Paysage s’est déroulé dans l’Eurométropole de Strasbourg - première agglomération cyclable française et reconnue comme pionnière en termes de la mobilité innovante. La problématique de cette année portait sur le réaménagement des abords de l’autoroute urbaine A35. Contrairement aux réflexions en cours - l’atelier a privilégié la conservation de l’infrastructure autoroutière sur une grande partie de ses 26km pour la faire évoluer en boulevard métropolitain et permettre une réelle réflexion sur l’évolution du tissu urbain attenant. 23 agences étaient représentées. L’expertise 2019 a été renforcée par la présence de professionnels aguerris au travail en atelier : urbanistes - architectes - paysagistes et ingénieurs. Rachid Kander - ancien directeur de l’agenceClermont Métropole - aujourd’hui directeur de la SEM SEAU participait aux travaux de l’atelier en tant que représentant du Club Ville Aménagement. Le projet proposé pour l’A35 et les territoires traversés s’inscrivait dans un processus inédit - prenant en compte les différents projets du Grenelle des mobilités dont la préparation d’un « Atelier des territoires » et des réflexions pour une IBA (Internationale Bauausstellung) sur le territoire métropolitain.;Disponible;
822;21;1;Métroscope - Les 22 métropoles françaises - Analyses chiffrées et focus sur la qualité de vie;174;167;Non;01/05/20;63 p.;Non;111;5;1295-5760;Physique & en ligne;Non;https://www.epures.com/images/pdf/demographie-statistiques/metroscope-2020-web-bd.pdf;1;AMT 00104;Initié par la Fnau - en partenariat avec France urbaine - l’AdCF et l’ANCT - Métroscope est le fruit d’un travail de deux années d’observation mutualisée et de nombreux échanges au sein d’un réseau d’experts très impliqué et issu des agences d’urbanisme et des collectivités territoriales. Cette nouvelle édition voit son panel de territoires observés étendu - avec les 22 métropoles françaises. Cette publication dessine à la fois un portrait des métropoles françaises et offre une mise en valeur des spécificités de chacune - certaines de leurs facettes ainsi que certaines de leurs fragilités. Ce travail vise à analyser quatre fonctions métropolitaines – la fiscalité - l’enseignement supérieur et la recherche - l’emploi - l’habitat – mais également d’étudier une facette très particulière de ces territoires : celle de la qualité de vie. Près de 60 indicateurs ont été retenus dans cette publication. Il s’agit d’un travail réalisé par les territoires pour les territoires - qui vise à éclairer l’action publique tant locale que nationale.;Disponible;
821;21;9;Une forte contribution des produits d'investissement récents à l'offre locative privée;44;298;Non;02/09/20;12 p.;Non;111;5;Non;Physique & en ligne;Non;https://www.observatoires-des-loyers.org/fileadmin/www.observatoires-des-loyers.org/MEDIA/observatoires/Etude_OLL_parc_recent_2020.pdf;3;ECO 00052 (2);L’ANIL et la FNAU publient une analyse sur la place du parc récent sur le marché locatif d’appartements - complétant les premiers constats publiés en janvier 2017 à partir des travaux des observatoires locaux des loyers. Sur la base des résultats 2018 - de 25 agglomérations - cette étude nationale met en lumière les loyers pratiqués sur le segment des appartements construits après 2005 - généralement financés en recourant à des mécanismes d’incitations fiscales à l’investissement (principalement Scellier - Duflot et Pinel). La comparaison des prix de location du parc récent à ceux des parcs locatifs de générations précédentes montre la façon dont la production récente contribue à la formation des prix du fait des volumes produits et des plafonds de loyers imposés. Complétant les études réalisées au niveau local - cette analyse nationale confirme l’importance des principes sur lesquels sont fondés les observatoires : un ancrage territorial et une exigence méthodologique. Cette publication constitue également une invitation à mobiliser la richesse des résultats disponibles et à prolonger les travaux sur la connaissance des loyers et le fonctionnement des marchés locatifs privés - tant à l’échelle nationale que locale.;Disponible;
820;21;10;Plan régional santé environnement 2017-2021;27;310;Non;01/09/19;117 p.;Non;111;5;Non;Physique & en ligne;Non;https://www.nouvelle-aquitaine.ars.sante.fr/system/files/2019-04/PRSE3_2017_2021_25_09_2017.pdf;1;ENV 00104;Porté conjointement par l’État - la Région et l’ARS - le PRSE - le plan régional en Santé Environnement (PRSE) Nouvelle-Aquitaine décline de manière opérationnelle les actions du Plan National Santé Environnement (PNSE). Il prend en compte les spécificités locales et promeut des actions propres aux territoires.;Non disponible;
819;21;3;Le réseau des agences d'urbanisme et la FNAU - Rapport d'activité 2019;174;167;Non;01/05/20;11 p.;Non;111;5;Non;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2016/03/fnau-ra-2019.pdf;1;AMU 00243;"La 40e Rencontre des agences d'urbanisme a eu lieu en Ile-de-France - les 6 - 7 et 8 novembre 2019 - à l'invitation de l'Institut Paris Région et de la Fédération nationale des agences d'urbanisme. Plusieurs centaines de personnes se sont retrouvées pour cette Rencontre intitulée : "" Lost in transition - Comment re-lier les territoires "".";Disponible;
818;21;3;Construire l'Europe des lieux et des liens;360;43;Non;31/12/17;74 p.;Non;111;5;1240-0874;Physique;Non;Non;1;AMU 00242;«La question n’est pas ce qui définit l’Europe mais ce qui fait Europe. » Dès l’ouverture de la 38e Rencontre des agences d’urbanisme (à Strasbourg - les 8 - 9 et 10 novembre) - la parole du philosophe et sinologue François Jullien bouscule les participants. En mettant à distance les notions usuelles d’identité collective et de différences au profit de concepts inattendus – l’écart - la fécondité - les ressources à activer – - il éclaire d’un jour nouveau le thème retenu pour cette édition : « L’Europe des lieux et des liens ». S’il remet en cause ce qu’il appelle « des mollesses idéologiques » - il ouvre aussi des voies stimulantes pour ceux qui sont confrontés aux questions d’identité - qu’elles concernent un territoire - une région ou l’Europe tout entière. Il est rare qu’une intervention secoue autant son public - qu’elle oblige chacun à réfléchir et à se déterminer et ouvre aussi bien les débats. Le fait que cette leçon de philosophie ait lieu à Strasbourg n’est pas fortuit : l’Eurométropole est la plus européenne des métropoles françaises et l’une de celles qui voient son futur s’écrire déjà au-delà du Rhin.;Disponible;
817;21;3;Guide sur les dispositions opposables du PLU;174;167;Non;31/03/20;266 p.;Non;111;5;979-10-90777-21-7;Physique & en ligne;Non;https://www.cohesion-territoires.gouv.fr/sites/default/files/2020-03/Guide_PLU_18_03_20_BD_WEB.pdf;3;AMU 00241 (2);Edité par le Ministère de la Cohésion des territoires et des Relations avec les collectivités territoriales et co-signé par la Fédération des agences d’urbanisme (Fnau) - ce guide a pour objet principal de traiter des dispositions opposables du PLU : orientations d’aménagement et de programmation (OAP) et règlement écrit et graphique. Il décrit néanmoins l’articulation entre ces parties réglementaires et les autres parties du PLU - en s’appuyant sur des exemples qui s’inspirent de cas réels. Des chapitres synthétiques permettent de comprendre en quoi le PLU peut aujourd’hui être un outil adapté pour mettre en œuvre une politique publique et pour traduire un projet.;Disponible;
816;21;3;Bâtir et habiter - Pour une éthique de la ville;363;303;Non;02/10/19;416 p.;Non;111;5;978-2-226-43927-7;Physique;Non;Non;1;AMU 00240;De l’antique cité d’Athènes aux villes ultramodernes du XXIe siècle - comme New York et Shanghai - la réflexion passionnante de Richard Sennett porte sur la relation entre la forme construite - la ville - telle qu’elle est conçue par les urbanistes - et la manière dont nous l’habitons. Partant du constat que la configuration de l’espace urbain peut enrichir ou aussi bien contrarier la vie quotidienne de ses habitants - ce livre répond à une urgence propre à la politique des villes aujourd’hui : Comment conjoindre la forme et le fond ? Comment être heureux en ville ? Quelles sont les dispositions particulières qui nous permettent - en dépit de nos préjugés - de nos habitudes - de vivre avec les autres ? Mobilisant tous les savoirs urbanisme - littérature - sociologie - philosophie - Richard Sennett montre que la clé réside dans l’élaboration d’une éthique de la ville. Et cette éthique - selon lui - tient en un mot : l’ouverture  - l’ouverture d’esprit des individus et l’ouverture de la forme bâtie qui favorise la sociabilité. « L’urbain compétent » est alors celui qui est capable de sortir de son isolement - d’aller à la rencontre de l’autre - et de jeter un regard toujours renouvelé sur le monde qui l’entoure.;Non disponible;
815;22;3;Rapport 2019 : Bien vivre dans les quartiers prioritaires;320;79;Non;01/01/20;308 p.;Non;111;5;978-2-11-139724-8;Physique & en ligne;Non;http://www.onpv.fr/uploads/media_items/anct-onpv-rapport2019.original.pdf;3;AMU 00239 (2);Pour cette cinquième édition - le rapport 2019 de l’Observatoire national de la politique de la ville analyse le bien vivre dans les quartiers prioritaires de la politique de la ville (QPV). Il dresse un panorama global de la vie dans les quartiers. Huit études ont été réalisées qui répondent à plusieurs questions : comment juger du bien vivre dans les quartiers prioritaires qui sont - par construction - des territoires où le taux de pauvreté est 2-5 fois supérieur à la moyenne nationale ? Quels indicateurs et quelle approche considérer? La seconde partie est constituée de courtes analyses statistiques sous forme de quarante fiches synthétiques. Certaines constituent une mise à jour des données produites dans les rapports annuels sur les thèmes usuels de la politique de la ville : scolarisation - pauvreté - délinquance - logement - programme de rénovation urbaine et de renouvellement urbain - emploi et chômage - participation des habitants. De nouveaux thèmes sont traités grâce à la collaboration renforcée avec de nombreux partenaires - chercheurs et statisticiens. Les contributions complètent la connaissance des atouts et des difficultés rencontrés par les habitants des quartiers de la politique de la ville.;Non disponible;
